2026-03-30 12:57:06.239 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:57:28.239 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2500 final=-0.2000
2026-03-30 12:57:32.452 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:57:32.539 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:57:54.455 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:57:54.455 | INFO     | __main__:main:985 - ACTION BTCUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:57:58.649 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:57:58.649 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:58:20.739 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:58:20.750 | INFO     | __main__:main:985 - ACTION BTCUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:58:24.739 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2000 final=-0.1600
2026-03-30 12:58:46.458 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 12:58:50.339 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:58:50.343 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:59:12.051 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:59:12.145 | INFO     | __main__:main:985 - ACTION BTCUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:59:17.665 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:59:17.743 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 12:59:39.739 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2500 final=-0.2000
2026-03-30 12:59:44.262 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 12:59:44.262 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:00:06.352 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2500 final=-0.2000
2026-03-30 13:00:10.955 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:00:10.955 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:00:32.957 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:00:33.039 | INFO     | __main__:main:985 - ACTION BTCUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:00:38.055 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:00:38.055 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:01:00.358 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 13:01:04.939 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:01:04.953 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:01:33.455 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 13:01:38.252 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2000 final=0.1600
2026-03-30 13:02:00.542 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2500 final=-0.2000
2026-03-30 13:02:04.945 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:02:04.945 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:02:27.052 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2500 final=-0.2000
2026-03-30 13:02:32.067 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:02:32.146 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:02:54.043 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2500 final=-0.2000
2026-03-30 13:02:58.539 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:02:58.545 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:03:20.552 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 13:03:25.239 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:03:25.249 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:03:47.165 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2500 final=-0.2000
2026-03-30 13:03:54.265 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:03:54.343 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:04:15.855 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 13:04:19.942 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2000 final=-0.1600
2026-03-30 13:04:41.945 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 13:04:47.649 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:04:47.649 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:05:09.364 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 13:05:13.542 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:05:13.542 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:05:35.053 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 13:05:40.152 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:05:40.152 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:06:03.152 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2500 final=-0.2000
2026-03-30 13:06:08.549 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2000 final=-0.1600
2026-03-30 13:06:31.149 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2500 final=-0.2000
2026-03-30 13:06:35.649 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
2026-03-30 13:06:35.664 | INFO     | __main__:main:985 - ACTION XAUUSDm | req=noop side=None volume=0.0 target=0.0000 ppo=0.0000 dreamer=0.0000 agi=0.0000 magic=None comment=None ticket=None retcode=None TP=None SL=None
2026-03-30 13:06:58.243 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 13:07:02.856 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=-1.0000 raw=-0.2000 final=-0.1600
2026-03-30 13:07:25.844 | INFO     | __main__:main:869 - DECISION BTCUSDm | regime=HOLD conf=0.9998 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=1.0000 raw=0.2500 final=0.2000
2026-03-30 13:07:31.054 | INFO     | __main__:main:869 - DECISION XAUUSDm | regime=HOLD conf=0.9999 risk=0.8000 agi_bias=0.0000 ppo=0.0000 dreamer=0.0000 raw=0.0000 final=0.0000
